"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"159","Land",2023,9329,2,"1","Petrol","Four-wheel Drive",21,30,"0","1","1","1","0","1",47999
"160","Kia",2022,14650,3.3,"1","Petrol","Four-wheel Drive",27,31,"0","1","1","1","0","1",47690
"161","Jaguar",2014,85954,5,"1","Petrol","Rear-wheel Drive",20,30,"0","0","1","1","0","0",26995
"162","Jeep",2014,116138,3.6,"0","Petrol","Four-wheel Drive",16,23,"0","0","0","0","0","0",21495
"163","Jaguar",2017,93553,2,"1","Petrol","Rear-wheel Drive",24,34,"1","0","0","1","0","1",15900
"164","MINI",2019,68351,1.5,"1","Petrol","Front-wheel Drive",26,34,"1","0","0","1","0","1",17950
"165","Hyundai",2017,46206,2.4,"1","Petrol","Front-wheel Drive",31,37,"1","0","0","1","0","0",17599
"166","Mitsubishi",2022,13395,2.5,"1","Petrol","Four-wheel Drive",33,41,"0","1","1","1","1","1",31907
"167","Toyota",2012,125263,5.7,"1","Petrol","Four-wheel Drive",13,17,"0","0","1","1","1","1",20825
"168","BMW",2014,21794,2.4,"1","Electric","Rear-wheel Drive",19,27,"0","0","1","1","0","0",15499
"169","Ford",2004,118530,3.8,"1","Petrol","Rear-wheel Drive",20,24,"0","0","0","0","0","0",8200
"170","Porsche",2008,48167,3.4,"0","Petrol","Rear-wheel Drive",19,23,"0","0","0","0","0","0",27750
"171","BMW",2020,23599,2,"1","Petrol","Four-wheel Drive",23,28,"0","0","1","1","0","0",44595
"172","Volvo",2011,76931,2.5,"1","Petrol","Front-wheel Drive",21,32,"0","0","0","1","0","0",10500
"173","Chevrolet",2018,67116,1.5,"1","Petrol","Front-wheel Drive",26,32,"0","0","0","1","0","0",17977
"174","FIAT",2012,118819,1.4,"1","Petrol","Front-wheel Drive",30,38,"0","0","0","1","0","0",6990
"175","Honda",2020,31382,1.8,"1","Petrol","Front-wheel Drive",28,34,"0","1","0","1","0","0",22490
"176","Mazda",2021,46484,2.5,"1","Petrol","Front-wheel Drive",24,31,"0","1","0","1","0","0",23466
"177","FIAT",2016,44199,2.4,"1","Petrol","Front-wheel Drive",22,31,"0","0","1","1","0","0",30998
"178","Cadillac",1976,14068,5.3,"0","Petrol","Rear-wheel Drive",13,13,"0","0","0","0","0","0",24950
"179","Maserati",2018,70161,3,"1","Petrol","Four-wheel Drive",13,21,"0","1","1","1","0","0",40900
"180","Mazda",2010,85597,2,"1","Petrol","Front-wheel Drive",28,31,"1","0","0","0","0","0",6984
"181","Nissan",2018,51520,3.6,"1","Electric","Front-wheel Drive",20,28,"0","0","1","1","0","0",16999
"182","Porsche",2019,44030,2,"1","Petrol","Four-wheel Drive",22,30,"0","1","1","1","0","1",47388
"183","Toyota",2005,222033,4.7,"1","Petrol","Four-wheel Drive",15,18,"1","0","0","1","1","1",10999
"184","Volkswagen",2022,5262,3.8,"1","Electric","Rear-wheel Drive",26,33,"0","1","1","1","0","0",39998
"185","Jaguar",2018,62761,2,"1","Petrol","Rear-wheel Drive",18,23,"0","0","1","1","0","0",23995
"186","MINI",2012,69786,1.6,"0","Petrol","Front-wheel Drive",27,35,"1","0","0","1","0","1",10000
"187","Chevrolet",2011,51585,3.6,"1","Petrol","Rear-wheel Drive",16,21,"1","0","0","1","0","0",16997
"188","Lexus",2020,22314,3.5,"1","Petrol","Four-wheel Drive",28,31,"1","1","0","1","1","0",39900
"189","Mercedes-Benz",2018,40223,3,"1","Petrol","Rear-wheel Drive",19,26,"1","0","1","1","0","1",40000
"190","Mercedes-Benz",2019,30112,3,"1","Petrol","Four-wheel Drive",21,26,"1","0","1","1","0","0",50490
"191","Nissan",2018,72929,5.6,"1","Petrol","Four-wheel Drive",17,26,"0","1","1","1","0","0",37999
"192","Kia",2022,10771,1.6,"1","Hybrid","Four-wheel Drive",35,39,"0","1","1","1","1","0",45999
"193","Honda",2017,54121,1.8,"1","Petrol","Four-wheel Drive",27,31,"0","0","1","1","0","1",20997
"194","Cadillac",2011,84076,4.6,"1","Petrol","Front-wheel Drive",15,21,"1","0","0","1","0","1",10291
"195","Nissan",2020,17747,3.5,"1","Petrol","Four-wheel Drive",23,31,"0","1","0","1","0","0",28495
"196","Volvo",2018,68860,1.6,"1","Petrol","Four-wheel Drive",22,25,"0","1","1","1","0","1",25600
"197","Audi",2020,29459,3,"1","Petrol","Four-wheel Drive",17,21,"0","1","1","1","1","0",50377
"198","Mazda",2023,7940,2.5,"1","Petrol","Front-wheel Drive",16,27,"0","1","0","0","0","0",27492
"199","Toyota",2021,57534,4,"1","Petrol","Four-wheel Drive",16,19,"0","0","0","1","0","0",36861
"200","Chevrolet",2017,89062,5.3,"1","Petrol","Four-wheel Drive",16,22,"0","0","1","1","1","1",34800
"201","Land",2014,106042,2,"1","Petrol","Four-wheel Drive",22,28,"1","0","0","1","0","1",13800
"202","Alfa",2020,26907,2,"1","Petrol","Four-wheel Drive",23,31,"0","1","1","1","0","0",35994
"203","Jeep",2015,56370,3.6,"1","Petrol","Four-wheel Drive",21,30,"0","1","0","1","0","0",27700
"204","Mitsubishi",2020,55746,2,"1","Petrol","Four-wheel Drive",24,30,"0","1","0","1","0","1",14995
"205","Toyota",2018,57150,3.5,"1","Petrol","Four-wheel Drive",18,22,"1","1","1","1","0","0",31886
"206","Porsche",2012,63604,3.6,"1","Petrol","Four-wheel Drive",19,23,"1","0","1","1","0","0",25001
"207","Jaguar",2011,48467,5,"1","Petrol","Rear-wheel Drive",24,34,"0","0","1","1","0","0",14000
"208","Volvo",2022,13942,2,"1","Petrol","Four-wheel Drive",21,32,"0","1","1","1","0","0",40998
"209","Porsche",2019,29199,3,"1","Petrol","Four-wheel Drive",20,26,"1","1","1","1","0","1",50995
"210","Chevrolet",2013,100389,5.3,"1","Petrol","Rear-wheel Drive",13,13,"0","0","1","0","0","0",26995
"211","Porsche",2020,20687,2,"1","Petrol","Four-wheel Drive",18,23,"0","0","1","1","0","1",48995
"212","Nissan",2021,56450,5.6,"1","Petrol","Rear-wheel Drive",19,26,"0","1","1","1","1","1",36606
"213","Nissan",2016,67425,3.5,"1","Petrol","Front-wheel Drive",21,28,"0","0","1","1","0","0",20998
"214","Jaguar",2019,65227,2.4,"1","Petrol","Rear-wheel Drive",15,23,"0","1","0","1","0","0",22990
"215","Cadillac",2022,11248,2,"1","Petrol","Front-wheel Drive",22,31,"0","1","0","1","1","1",45595
"216","FIAT",2019,26377,1.3,"1","Petrol","Four-wheel Drive",24,30,"0","1","0","1","0","0",24611
"217","Lexus",2013,87229,2.5,"1","Petrol","Four-wheel Drive",20,28,"1","0","0","1","0","0",17696
"218","Honda",2020,33862,2,"0","Hybrid","Rear-wheel Drive",28,34,"0","1","0","0","0","0",30000
"219","Volvo",2019,36896,2,"1","Petrol","Four-wheel Drive",22,31,"1","1","0","1","0","1",26976
"220","Jeep",2010,82199,3.8,"1","Petrol","Four-wheel Drive",18,25,"0","0","0","0","0","0",17999
"221","MINI",2010,67000,1.6,"1","Petrol","Front-wheel Drive",24,33,"1","0","0","0","0","0",8995
"222","Mazda",2011,107575,2.3,"0","Petrol","Front-wheel Drive",26,35,"1","0","0","1","0","0",11899
"223","Volkswagen",2022,33360,1.5,"1","Petrol","Front-wheel Drive",16,22,"0","1","0","1","0","0",29998
"224","BMW",2011,93596,3,"0","Petrol","Rear-wheel Drive",20,25,"1","0","0","0","0","0",12840
"225","Land",2018,40601,3,"1","Petrol","Four-wheel Drive",16,21,"0","0","1","1","0","0",40572
"226","Cadillac",2009,125080,4.6,"1","Petrol","Front-wheel Drive",17,24,"1","0","0","1","0","0",9499
"227","Jeep",2023,1001,3.6,"1","Petrol","Four-wheel Drive",23,30,"0","1","0","0","1","0",43049
"228","Mercedes-Benz",2009,82461,3.5,"1","Petrol","Rear-wheel Drive",14,19,"0","0","0","0","0","0",10997
"229","Toyota",2016,39240,3.5,"1","Petrol","Four-wheel Drive",18,24,"0","0","1","1","1","0",29996
"230","Porsche",2019,21548,2,"1","Petrol","Four-wheel Drive",14,21,"1","1","1","1","0","1",48788
"231","Ford",2021,39062,2.7,"1","Petrol","Four-wheel Drive",19,22,"0","0","0","1","0","1",43685
"232","Hyundai",2013,58665,1.8,"0","Petrol","Front-wheel Drive",19,26,"0","0","0","1","0","1",13000
"233","Volvo",2020,47502,2,"1","Petrol","Four-wheel Drive",20,27,"0","1","0","1","0","0",29821
"234","Alfa",2021,14299,2,"1","Petrol","Four-wheel Drive",23,31,"0","1","0","1","0","0",34999
"235","Honda",2023,345,1.5,"1","Petrol","Front-wheel Drive",26,33,"0","1","0","0","0","0",35990
"236","Mitsubishi",2022,9053,2.5,"1","Petrol","Front-wheel Drive",23,29,"0","1","0","1","1","0",27499
"237","Ford",2018,25750,3.5,"1","Petrol","Front-wheel Drive",17,24,"1","1","0","1","1","0",25545
"238","Alfa",2017,64716,2,"1","Petrol","Four-wheel Drive",22,28,"0","0","0","1","0","1",20883
"239","Honda",2019,48688,1.5,"1","Petrol","Front-wheel Drive",30,36,"0","1","0","1","0","0",24499
"240","FIAT",2014,74639,1.4,"0","Petrol","Front-wheel Drive",28,34,"0","0","0","1","0","1",12499
"241","Hyundai",2020,54101,2,"1","Petrol","Front-wheel Drive",21,26,"0","1","0","1","0","1",23408
"242","Volkswagen",2018,1708,1.8,"0","Petrol","Front-wheel Drive",18,24,"0","1","0","1","0","0",21495
"243","Hyundai",2019,36577,2.4,"1","Petrol","Front-wheel Drive",26,33,"0","0","0","1","0","1",23995
"244","Chevrolet",2018,80898,5.3,"1","Petrol","Four-wheel Drive",15,22,"0","0","1","1","1","0",43995
"245","Volkswagen",2021,40835,2.4,"1","Electric","Rear-wheel Drive",18,24,"0","1","1","1","0","0",34995
"246","Audi",2021,45151,3,"1","Petrol","Four-wheel Drive",18,24,"0","0","0","1","0","1",43996
"247","Kia",2022,33628,1.6,"1","Hybrid","Front-wheel Drive",25,29,"1","1","1","1","0","1",33348
